"dataset","source_id","trait","ancestry","genome_build","tier","p_threshold","candidate_snps","strong_snps","mapped_snps","post_clump_snps","min_f","mean_f","exclusion_reason"
"microbiome_2026","GCST90670409","Gut microbiome species presence (Faecalibacterium prausnitzii A, GCF_023347235.1)","EUR","GRCh37","primary",5e-08,1,1,1,1,30.3420431538797,30.3420431538797,""
"microbiome_2026","GCST90670409","Gut microbiome species presence (Faecalibacterium prausnitzii A, GCF_023347235.1)","EUR","GRCh37","exploratory",1e-05,217,217,212,12,19.6066630622837,22.7831902572291,""
"microbiome_2026","GCST90670410","Gut microbiome species abundance (Eisenbergiella sp900066775, GCA_003481005.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670410","Gut microbiome species abundance (Eisenbergiella sp900066775, GCA_003481005.1)","EUR","GRCh37","exploratory",1e-05,109,109,109,17,19.6793787196981,21.7130740110784,""
"microbiome_2026","GCST90670411","Gut microbiome species abundance (Roseburia hominis, GCF_000225345.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670411","Gut microbiome species abundance (Roseburia hominis, GCF_000225345.1)","EUR","GRCh37","exploratory",1e-05,30,30,30,14,19.6206068427487,21.2221055801617,""
"microbiome_2026","GCST90670412","Gut microbiome species abundance (Faecalibacterium prausnitzii D, GCF_023347255.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670412","Gut microbiome species abundance (Faecalibacterium prausnitzii D, GCF_023347255.1)","EUR","GRCh37","exploratory",1e-05,72,72,71,10,19.7871581450654,21.3399280608234,""
"microbiome_2026","GCST90670413","Gut microbiome species abundance (Roseburia inulinivorans, GCF_000174195.1)","EUR","GRCh37","primary",5e-08,1,1,0,0,,,"no_allele_matched_reference_variant"
"microbiome_2026","GCST90670413","Gut microbiome species abundance (Roseburia inulinivorans, GCF_000174195.1)","EUR","GRCh37","exploratory",1e-05,341,341,331,11,19.9197783933518,21.990806984816,""
"microbiome_2026","GCST90670414","Gut microbiome species presence (Coprococcus sp900066115, GCF_003461625.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670414","Gut microbiome species presence (Coprococcus sp900066115, GCF_003461625.1)","EUR","GRCh37","exploratory",1e-05,62,62,60,12,19.6374960354724,20.9662147317479,""
"microbiome_2026","GCST90670415","Gut microbiome species abundance (CAG-41 sp900066215, GCA_003460745.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670415","Gut microbiome species abundance (CAG-41 sp900066215, GCA_003460745.1)","EUR","GRCh37","exploratory",1e-05,86,86,84,17,19.6054791386657,21.2578125535548,""
"microbiome_2026","GCST90670416","Gut microbiome species abundance (Eubacterium F sp003491505, GCF_003477605.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670416","Gut microbiome species abundance (Eubacterium F sp003491505, GCF_003477605.1)","EUR","GRCh37","exploratory",1e-05,153,153,151,22,19.4252400548697,21.6525040344007,""
"microbiome_2026","GCST90670417","Gut microbiome species abundance (Alistipes onderdonkii, GCA_025145285.1)","EUR","GRCh37","primary",5e-08,1,1,1,1,30.4820221606648,30.4820221606648,""
"microbiome_2026","GCST90670417","Gut microbiome species abundance (Alistipes onderdonkii, GCA_025145285.1)","EUR","GRCh37","exploratory",1e-05,55,55,54,19,19.774697265625,22.0240300596155,""
"microbiome_2026","GCST90670418","Gut microbiome species presence (Catenibacterium sp000437715, GCF_004168205.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
