source_id,nsnp,F_metric,F_value
GCST90671293,1,Median F,105.021504
GCST90671302,1,Median F,32.3634567901235
GCST90671312,1,Median F,29.845058031004
GCST90671314,1,Median F,30.5059571164298
GCST90671323,1,Median F,42.2796855778654
GCST90671324,1,Median F,32.439577100791
GCST90671336,1,Median F,38.142061042524
GCST90671353,1,Median F,32.694523962513
GCST90671359,1,Median F,29.9982324720142
GCST90671360,2,Median F,32.0059891929704
GCST90671365,1,Median F,30.4073469387755
GCST90671373,1,Median F,30.0466392318244
GCST90671377,1,Median F,36.7568781237985
GCST90671385,1,Median F,30.9949149408284
GCST90671389,1,Median F,30.25
GCST90671397,2,Median F,31.4876132436899
GCST90671414,2,Median F,34.0286454746508
GCST90671419,1,Median F,33.2746814404432
GCST90671426,1,Median F,34.3536506483297
GCST90671432,1,Median F,30.1535857186827
GCST90671434,1,Median F,30.5895889398263
GCST90671435,1,Median F,29.9886621315193
GCST90671449,1,Median F,37.019619140625
GCST90671450,1,Median F,31.1828252132144
GCST90671463,1,Median F,71.4588444444444
GCST90671465,1,Median F,36.6824492702029
GCST90671469,1,Median F,32.7508763477072
GCST90671470,1,Median F,35.2897831704924
GCST90671474,2,Median F,30.4759887101414
GCST90671483,1,Median F,29.9612188365651
GCST90671486,1,Median F,32.883056640625
GCST90671488,1,Median F,30.0974151234568
GCST90671490,1,Median F,31.4076776822092
GCST90671499,1,Median F,31.7315332278375
GCST90671500,1,Median F,30.096196
GCST90671503,1,Median F,35.2836
GCST90671519,1,Median F,31.0158839449447
GCST90671524,4,Median F,31.157340154551
GCST90671536,1,Median F,32.4489124290225
GCST90671554,1,Median F,30.1408271567037
GCST90671561,1,Median F,29.8422921931562
GCST90671563,1,Median F,45.6197213444413
GCST90671570,1,Median F,31.7240544298458
GCST90671572,1,Median F,30.2182164455879
GCST90671581,1,Median F,31.7798575051322
GCST90671588,2,Median F,38.7476451648175
GCST90671595,2,Median F,35.0577625220519
GCST90671613,1,Median F,30.5507438016529
GCST90671614,1,Median F,41.8015110161782
GCST90671616,1,Median F,31.3770042019379
GCST90671653,1,Median F,104.203264
GCST90671656,1,Median F,30.767822265625
GCST90671664,1,Median F,30.1982979727008
GCST90671665,1,Median F,29.8633591555513
GCST90671669,2,Median F,57.8694896047922
GCST90671674,1,Median F,29.9175849403122
GCST90671689,1,Median F,31.5962326869806
GCST90671693,1,Median F,29.7624516871796
GCST90671695,2,Median F,34.7131218258403
GCST90671707,1,Median F,31.8135580178516
GCST90671709,1,Median F,31.5736961451247
GCST90671716,1,Median F,34.6159739359043
GCST90671717,2,Median F,31.3282733382521
GCST90671718,1,Median F,32.883056640625
GCST90671721,1,Median F,31.0158839449447
GCST90671723,4,Median F,31.157340154551
GCST90671729,1,Median F,31.7240544298458
GCST90671733,2,Median F,38.7476451648175
GCST90671741,1,Median F,108.326464
GCST90671755,1,Median F,30.0033139755081
GCST90671759,1,Median F,30.7430644132653
GCST90671764,1,Median F,32.1508895044629
GCST90671773,1,Median F,31.5736961451247
GCST90671780,1,Median F,31.2662481839862
GCST90671781,4,Median F,31.157340154551
GCST90671784,2,Median F,38.7476451648175
GCST90671789,1,Median F,107.827456
GCST90671803,1,Median F,31.5736961451247
GCST90671808,1,Median F,83.9776941682344
GCST90671821,1,Median F,31.825780543166
GCST90671822,1,Median F,31.6033019422038
GCST90671829,1,Median F,30.3842950624628
GCST90671830,1,Median F,32.6949375410914
GCST90671832,1,Median F,33.0955542343771
GCST90671836,1,Median F,30.3519375857339
GCST90671843,1,Median F,29.9072265625
GCST90671860,1,Median F,29.8674959437534
GCST90671866,1,Median F,32.4799122875715
GCST90671868,1,Median F,30.25
GCST90671882,1,Median F,30.9049637100575
GCST90671902,2,Median F,31.9775740288596
