rank,observed_p,primary_BH,estimable_only_BH
196,0.922984553934689,0.0426086956521739,0.044954128440367
197,0.922984553934689,0.0428260869565217,0.0451834862385321
198,0.925885488391665,0.0430434782608696,0.0454128440366973
199,0.925885488391665,0.0432608695652174,0.0456422018348624
200,0.925885488391665,0.0434782608695652,0.0458715596330275
201,0.93629127699157,0.043695652173913,0.0461009174311927
202,0.948143815031205,0.0439130434782609,0.0463302752293578
203,0.94998250059806,0.0441304347826087,0.0465596330275229
204,0.94998250059806,0.0443478260869565,0.0467889908256881
205,0.952748881646244,0.0445652173913043,0.0470183486238532
206,0.952748881646244,0.0447826086956522,0.0472477064220184
207,0.958715112550042,0.045,0.0474770642201835
208,0.95890699995158,0.0452173913043478,0.0477064220183486
209,0.96029833298552,0.0454347826086957,0.0479357798165138
210,0.96085465971081,0.0456521739130435,0.0481651376146789
211,0.961076424130338,0.0458695652173913,0.048394495412844
212,0.962389170752059,0.0460869565217391,0.0486238532110092
213,0.973900007029541,0.046304347826087,0.0488532110091743
214,0.97811374991681,0.0465217391304348,0.0490825688073395
215,0.978808356794603,0.0467391304347826,0.0493119266055046
216,0.979670273997021,0.0469565217391304,0.0495412844036697
217,0.984849251920984,0.0471739130434783,0.0497706422018349
218,0.994751139689019,0.0473913043478261,0.05
